ID,CODIGO,DESCRIÇÃO DOS SERVIÇOS,QUANTIDADE,PREÇO UNITÁRIO,UNIDADE,PREÇO TOTAL
556043,5298-0584-7,PB Classe CFO,"8,23","R$ 266,63",PO,"R$ 2.194,36"
556043,5298-0587-1,PB Classe L,"5,10","R$ 76,86",PO,"R$ 391,99"
556043,5298-0589-8,PB Classe P,"3,75","R$ 77,76",PP,"R$ 291,60"
573555,5298-0500-1,PB Classe LFO,"16,90","R$ 108,55",PO,"R$ 1.834,49"
573555,5298-0584-7,PB Classe CFO,"6,04","R$ 266,63",PO,"R$ 1.610,45"
573555,5298-0589-8,PB Classe P,"3,75","R$ 77,76",PP,"R$ 291,60"
581516,5298-0500-1,PB Classe LFO,"24,74","R$ 109,59",PO,"R$ 2.710,82"
581516,5298-0584-7,PB Classe CFO,"2,87","R$ 269,19",PO,"R$ 772,58"
582552,5298-0500-1,PB Classe LFO,"8,33","R$ 109,59",PO,"R$ 913,43"
582552,5298-0584-7,PB Classe CFO,"5,55","R$ 269,19",PO,"R$ 1.494,00"
582552,5298-0589-8,PB Classe P,"3,00","R$ 78,50",PP,"R$ 235,50"
584891,5298-0584-7,PB Classe CFO,"0,37","R$ 269,19",PO,"R$ 99,60"
582554,5298-0500-1,PB Classe LFO,"30,18","R$ 109,59",PO,"R$ 3.307,86"
582554,5298-0584-7,PB Classe CFO,"6,30","R$ 269,19",PO,"R$ 1.695,90"
582554,5298-0589-8,PB Classe P,"7,14","R$ 78,50",PP,"R$ 560,49"
586763,5298-0500-1,PB Classe LFO,"32,74","R$ 109,59",PO,"R$ 3.587,98"
586763,5298-0584-7,PB Classe CFO,"7,45","R$ 269,19",PO,"R$ 2.005,47"
586763,5298-0589-8,PB Classe P,"5,63","R$ 78,50",PP,"R$ 441,56"
587255,5298-0500-1,PB Classe LFO,"19,38","R$ 109,59",PO,"R$ 2.123,42"
587255,5298-0584-7,PB Classe CFO,"4,96","R$ 269,19",PO,"R$ 1.335,18"
585605,5298-0500-1,PB Classe LFO,"13,08","R$ 109,59",PO,"R$ 1.433,00"
585605,5298-0584-7,PB Classe CFO,"3,88","R$ 269,19",PO,"R$ 1.044,46"
575276,5298-0500-1,PB Classe LFO,"26,80","R$ 108,55",PO,"R$ 2.909,14"
575276,5298-0584-7,PB Classe CFO,"6,98","R$ 266,63",PO,"R$ 1.861,08"
575276,5298-0589-8,PB Classe P,"5,63","R$ 77,76",PP,"R$ 437,40"
582187,5298-0500-1,PB Classe LFO,"21,30","R$ 109,59",PO,"R$ 2.334,49"
582187,5298-0584-7,PB Classe CFO,"2,79","R$ 269,19",PO,"R$ 751,04"
587518,5298-0500-1,PB Classe LFO,"23,80","R$ 109,59",PO,"R$ 2.608,35"
587518,5298-0584-7,PB Classe CFO,"7,74","R$ 269,19",PO,"R$ 2.083,53"
587518,5298-0589-8,PB Classe P,"6,35","R$ 78,50",PP,"R$ 498,67"
583365,5298-0500-1,PB Classe LFO,"14,30","R$ 109,59",PO,"R$ 1.567,14"
583365,5298-0584-7,PB Classe CFO,"3,76","R$ 269,19",PO,"R$ 1.012,15"
